Pet Name,Pet Birthday,Report AddedOn,Report EditOn,Report Temp,Report Reason,Report History,Report Examination,Report DiagnosticImaging,Report Lab,Report Diagnosis,Report Treatment,Report Plan,Report Prescription,Report Advice,Report Assessment,Report vitals,Report Note,Report Weight,Report WeightUnit,VisitExam ExaminationId,VisitExam ReportsId,VisitExam AddedOn,VisitExam Mentation,VisitExam Posture
Aadu,2024-05-01,2024-06-28T14:29:00.000,2024-06-29T15:17:16.000,"T - 101
    PR -  66
    HR -  102
    RR -  
    MM -",this is test,this is test,this is test,this is test,this is test,,,,,,,"T - 101
    PR -  66
    HR -  102
    RR -  
    MM -",this is test,,Kg,1.0,1.0,2024-09-10T18:48:00.700,,this is test
Kale,,2024-06-14T15:01:00.000,,"T - 100
    PR -  
    HR -  
    RR -  
    MM -",Skin Problem,Itching,Skin impression,,,Fungal and bacteria seen,,,1. Ketofur soap - 2-3 times a week for 1st week,Follow up after 5 days,,"T - 100
    PR -  
    HR -  
    RR -  
    MM -",,11.0,Kg,2.0,2.0,2024-09-10T18:48:00.700,,Skin impression
Kale,,2024-06-29T15:14:00.000,2024-07-04T22:21:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,,,,,,,"-sheen and Kleenex shampoo
Bath once or twice a week
-itraconazole 200
Once a day
-clavum",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,11.0,Kg,3.0,3.0,2024-09-10T18:48:00.700,,
OLA JHA,2024-06-29,2024-06-29T15:43:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",ventral side Neck injury due to collar,wound at Neck region,Mggoted wound,,,Maggoted wound @Neck (Ventral),"-Dressing with Betadine
-Injected Ivermectin at open wound to remove Maggot",,"- Micodom
Apply on affceted area twice a day
-Use E collar as advised by vet",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Good,12.0,Kg,4.0,4.0,2024-09-10T18:48:00.700,,Mggoted wound
Eva,2024-06-29,2024-06-20T16:06:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Right hind limb lamess,,,,,Right Hind limb paralysis,"-MethylPrednisolone inj
continued for 5 days",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Good,25.0,Kg,5.0,5.0,2024-09-10T18:48:00.700,,
Mota,2024-07-02,2024-07-02T10:51:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Neutering,,,,,,,,"- Ceftriaxone 1gm 
1gm once a day",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Good,34.0,Kg,6.0,6.0,2024-09-10T18:48:00.700,,
Popcorn,2020-07-02,2024-07-03T17:36:00.000,2024-11-30T14:04:00.000,T -100    PR -  72    HR  72    RR -  20    MM -  Pinkish,Skin problem,Alopecia in certain area,,,,-Hypothyroid and Fungal mixed infection,,,"-Micodom 
- My skin Spray
- Thyronom tablet",,,,"treated with normal hypothyroid report on 29th november,2024",25.0,Kg,7.0,7.0,2024-09-10T18:48:00.700,,-skin impression test-Aspiration cytology
Leo,2022-01-03,2024-07-03T10:31:00.000,2024-10-19T16:46:00.000,T -102.2    PR -      HR -      RR -      MM -,"-INAPPETANCE SINCE 5 DAYS
-URINE INCONTININENCE SINCE 3 DAYS
-LEFT SIDE NOSE BLEEDING",PRESENCE OF TICSK,,- X RAY NORMAL,,"E canis positive

Again e canis positive on 19 th october despite of doxycycline medication",,"18th August, 2024 started medication with doxycycline but relapses
3rd october
relpase or not healed and seen positive and doxycycline 100 mg was started again 3 capsule a day after meal.

19 october
DOXYCYCLINE 100 MG
TWO CAPSULE TWICE A DAY FOR 30 DAYS

PREDNISOLONE 10 MG
TWO TABLET ONCE A DAY FOR 7 DAYS

GLOSSY COAT
10 ML TWICE A DAY FOR 1 MONTH","-doxycycline 100 mg capsule
two capsule twice a day for 30 days

-pantaprazole DSR 40 MG
ONE CAPSULE ONCE A DAY FOR 10 DAYS

21 JULY, 2024
EYE DROP (TIMOLOL)
2 DROPS TWICE A DAY X CONTD
 RKLEEN
10 ML ONCE A DAY FOR 30 DAYS

3rd october
Doxycyline 100 mg
Vet pro recovery
Immunol",,"URINARY CATHETER WAS PLACED EASILY ENTERED
NO SIGN OF URETHRA BLOCKAGE

19 th july,2024
red cornea/inappeatance/ Blood withdrawl for biocmen check (repeat)",,,35.0,Kg,8.0,8.0,2024-09-10T18:48:00.700,,"HEART AND PULSE RATE NORMAL AND IN RHYTH,"
Punte,2008-07-03,2024-07-03T18:31:00.000,2024-07-04T16:14:00.000,"T -101
    PR -  
    HR -  
    RR -  
    MM -","panting
Polydypsia
polyuria
anorexia since 1 week
vomition since yesterday",,- cardaiac murmur,,"glucose 147 mg/dl
Creatinine: 2.5
BUN:198",,"-Normal saline subcutanoeus
-Ranitidine 1 ml S/C",,Continue 100 ml Ns Saline twice a day,,,"T -101
    PR -  
    HR -  
    RR -  
    MM -",Prognosis: Guarded,10.0,Kg,9.0,9.0,2024-09-10T18:48:00.700,,- cardaiac murmur
DALLE,,2024-07-03T20:46:00.000,2024-07-04T22:10:00.000,"T - 100F
    PR -  Normal
    HR -  Normal
    RR -  Normal
    MM -  Normal",ASCITIS,,,,-Creatinine: 2.9,Renal insufficiency with Ascitis,-Frusemide 2 ml IM,,,,ABDOMINOCENTESIS,"T - 100F
    PR -  Normal
    HR -  Normal
    RR -  Normal
    MM -  Normal","Prognosis: Poor
Euthanized due to renal insufficiency",,Kg,10.0,10.0,2024-09-10T18:48:00.700,,
